participant,model,choice_only,objective,success,best_start_index,message,log_k_R,log_k_L,log_beta,alpha,delta_L,log_b,log_sigma
rncbe0zlg,M1,False,317.64699357263925,True,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.06939237828715994,-0.4659806413050787,1.3211478325548185,0.6216903708934708,0.14395267829877942,-2.3526485470389944,-1.0517457187075976
ru26ufirj,M1,False,436.1443871530112,False,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.6088535529746097,-1.7417001471660651,0.5801867341173351,0.11844270503726709,0.14978486179137138,-2.375979934002549,-0.06658905006091463
rv0b4sx2y,M1,False,218.83187729243855,True,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7306252336779346,2.1532740755773276,0.09969629614676917,0.28254301887941347,-0.2164609160555992,-4.822966831444906,-0.9911889591509482
s4xqtibhr,M1,False,170.30096424853846,True,15,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.4364517847994111,0.5292891496803872,-2.8590962848437025,-0.635983038928228,-0.2821589515418165,-3.479593464970977,-0.4091655143818717
t0p3bj6ne,M1,False,422.18420465639167,True,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-3.4144992568196564,-2.0696942533109426,-0.7670429710222176,0.8810361250916195,-0.08985315074375322,-3.1396940388242,-0.6171960591163844
ta33uq804,M1,False,483.816192957343,True,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.166783555471262,-0.48313733908542905,-0.8892559823894942,0.5910614957598819,0.1798823114184909,-3.413988406729541,-0.2913803258736577
u3yyfob1i,M1,False,247.50998649330487,True,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.321133338098514,3.611643696938719,-2.071128212206081,0.36325109715412757,-0.026784375428942145,-3.863422782705742,-1.2028108398117183
uq15yb622,M1,False,378.43908193922533,True,18,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.5026743324527879,0.04304936043289753,0.9717545092419171,1.095573190418318,0.07125349487318726,-3.1431753922244,-1.0155348382936338
vdnjz8uta,M1,False,344.21987307584163,True,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-1.8253875455563524,3.2991042066234697,0.7195092427413149,1.0584489935486225,-0.32914600881382566,-2.9970633133871067,-1.0233856352314112
vr0a0xs4k,M1,False,203.7827098899062,True,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-2.3838691593772636,-2.1001208429008376,-0.042260894315349906,0.17649087930189797,-4.82270451734082,-1.0603993965578657
x71tw2ykd,M1,False,356.47251717401156,True,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-2.5869889250171507,0.16826267694324465,0.29679911684879057,0.5038581840052861,0.5357777318234469,-3.9445277880487977,-0.906361563549613
